adrenalgland	Adrenal_Gland
aorta	Artery_Aorta
ascendingaorta	Artery_Aorta
Bcell	Whole_Blood
bodyofpancreas	Pancreas
brain	Brain
breastepithelium	Breast_Mammary_Tissue
caudatenucleus	Brain_Caudate_basal_ganglia
CD14-positivemonocyte	Whole_Blood
CD4-positive,alpha-betaTcell	Whole_Blood
CD8-positive,alpha-betaTcell	Whole_Blood
cerebellum	Brain_Cerebellum
cerebellum	Brain_Cerebellar_Hemisphere
cingulategyrus	Brain_Anterior_cingulate_cortex_BA24
coronaryartery	Artery_Coronory	
endocrinepancreas	Pancreas
esophagusmuscularismucosa	Esophagus_Mucosa
esophagusmuscularismucosa	Esophagus_Muscularis
esophagus	Esophagus_Mucosa
esophagus	Esophagus_Muscularis
heartleftventricle	Heart_Left_Ventricle
heartrightventricle	Heart_Left_Ventricle
heart	Heart_Atrial_Appendage
kidney	Kidney
layerofhippocampus	Brain_Hippocampus
liver	Liver
lowerlegskin	Skin_Not_Sun_Exposed_Suprapubic
lowerlegskin	Skin_Sun_Exposed_Lower_leg
lung	Lung
mucosaofstomach	Stomach
musclelayerofcolon	Colon_Transverse
muscleofleg	Muscle_Skeletal
muscleoftrunk	Muscle_Skeletal
ovary	Ovary
pancreas	Pancreas
prostategland	Prostate
rightlobeofliver	Liver
sigmoidcolon	Colon_Sigmoid
skeletalmuscletissue	Muscle_Skeletal
smallintestine	Small_Intestine_Terminal_Ileum
spleen	Spleen
stomachsmoothmuscle	Stomach
stomach	Stomach
subcutaneousabdominaladiposetissue	Adipose_Visceral_Omentum
subcutaneousabdominaladiposetissue	Adipose_Subcutaneous
substantianigra	Brain_Substantia_nigra
T-cell	Whole_Blood
testis	Testis
thyroidgland	Thyroid
tibialartery	Artery_Tibial
tibialnerve	Tibial_nerve
transversecolon	Colon_Transverse
upperlobeofleftlung	Lung
uterus	Uterus
vagina	Vagina
